ID,Datum,accuracy,average_difficulty,boredom,comment,damage_taken,difficulty,easy_time,failures,familiarity,frequency,frustration,hard_time,highest_difficulty,hits,immersion,kills,longest_time_alive,lowest_difficulty,most_consecutive_deaths,perceived_difficulty,potions_used,quit,satisfaction,skill,skipped_tutorial,time,version
34,"2026-04-29 15:36:50",59,2.45,1,"This was so awesome, very cute and fun, I feel like the only thing this game is missing is a bit of balance, but like just a smidge cause in the castle with the 3 keys, I feel like the top room had so many AoEs that felt so stressed lmao, and the left path was a bit hard compared to everything else. Other than that, I think the mages (the purple ones) are a bit too hard to notice at least personally, like the knights (the regular and stronger ones) and the red mages are very easy to see, but the purple ones don't stand out a lot and they are really hard to miss and get hit by a stray projectile, idk maybe a bigger model or different color would help make it easier, then again all these choices could be intentional from a game perspective. Also the enemy tracking from the mages and the dashing knights is insane lmao like they track you so perfectly even if you move that I feel like you're bound to get hit a lot sometimes LOL. Like the purple mages literally predict where you're going so you have to stop to dodge sometimes, insane!!! Anyways like I said I think this is really cute, like I really enjoyed it a lot and it's very cute but omg so stressful at times cause I didn't wanna die or mess up haha.",27,2.9,00:00:00,0,2,5,2,08:55:57,2.9,397,5,109,11:48:41,1.5,0,3,15,,5,5,,11:48:41,A
33,"2026-04-27 22:11:08",0,1.50,1,"I never play computer games. Actually I did not know what to do. Going north, was not enough information for me. I assume a short demo would have been helpful for me.",94,1.5,00:00:00,14,1,1,5,00:00:00,1.5,0,5,0,01:21:02,1.5,14,5,0,1,1,1,1,06:06:92,B
32,"2026-04-27 09:18:17",53,1.50,1,"Basic physics of terrain and hitboxs is pretty accurate !!!! quite a novel experience",21,1.5,00:00:00,0,3,5,1,00:00:00,1.5,170,3,52,06:09:70,1.5,0,3,11,,4,4,,06:09:70,B
31,"2026-04-26 22:03:17",54,2.32,3,"The first level felt kinda empty while the castle one was suddenly way more difficult. I do not play these type of shooter games, so im not sure if it's usualy a feature, but a dodge would be nice. Also I would like a visual indicator of where I am pointing at with cursor maybe. Besides I think it's nice, just not my type of game. byeee :****",20,0.1,00:29:74,2,1,4,3,06:44:33,2.9,214,2,52,08:13:69,0.1,2,2,6,1,2,3,,08:44:52,A
30,"2026-04-26 20:23:59",40,1.50,4,"the game felt a bit mundane after a bit. i didn't really feel the need to engage with the enemies - too many of them. the bomb upgrades where fun. all of the upgrades where fun but didnt last long enough",17,1.5,00:00:00,0,2,4,1,00:00:00,1.5,276,3,73,07:45:29,1.5,0,3,10,,2,3,,07:45:29,B
29,"2026-04-26 17:51:54",51,2.13,1,"Overall simple but enjoyable game! I enjoyed the varied enemy design and pace. I found myself let down when I hit the end, I was looking forward to fighting a boss! I did notice in the early stage you could simply run past enemys and go straight for the castle, but found that no longer a great strategy in the castle itself which I thought was good. The potion and item drops felt plentiful so playing poorly did not feel too punishing. I enjoyed the 'air strike' enemy and how it caused tension and pressureto move fast and find this enemy. Neat game!",24,2.9,00:00:00,0,4,5,1,03:24:78,2.9,268,5,73,06:27:14,1.5,0,3,15,,4,5,,06:27:14,A
28,"2026-04-26 17:51:10",62,1.50,2,"the floating arrow pointing towards the objective feels a little silly. i feel like well-designed environments will mostly lead an attentive player to where they need to go, and i feel like the evironments *do* that and that i wouldn't have gotten lost without the arrow! the game would benefit from even some extremely basic sound effects, playing in complete silence (assuming that that isn't a bug) is leaving a lot on the table the level design was good! i liked walking into a room with a bomb powerup and then realizing it was full of guys and going ""oh shit"", i liked the idea of the room with the aoe casters on the other sides of long walls bombarding you as you try to go around (although they weren't very threatening with nothing else there to make me risk getting hit)",11,1.5,00:00:00,0,3,5,1,00:00:00,1.5,344,4,95,08:56:78,1.5,0,3,9,,5,4,,08:56:78,B
27,"2026-04-26 17:06:43",56,1.50,3,"Cool game, only issue I have is that the cool enemies, (area wizard and lance guy) come in too late, and you can just walk past them and not fight any enemies.",15,1.5,00:00:00,0,3,5,1,00:00:00,1.5,275,2,75,06:45:12,1.5,0,2,10,,3,4,,06:45:12,B
26,"2026-04-26 16:55:14",56,1.50,1,"Overall good start to the game. I felt the power ups were pretty good, I just wish I would be able to have some on a button to press to use them, but if this is going for more arcady then I understand the choice. The maps were well done, especially the super wizards that have airstrikes that can shoot through walls being behind a wall. I had a really strange bug when I started where I was being sent off the map and couldn't do anything, but a quick refresh worked out fine to fix it.",8,1.5,00:00:00,0,3,5,1,00:00:00,1.5,346,4,98,08:17:02,1.5,0,2,8,,4,5,,08:17:02,B
25,"2026-04-26 16:20:24",50,1.50,1,"Pretty fun game! Would be great with some sounds, the upgrade were fun I wish there were more ( fast shot, poisons arrows, etc) The level design was really good, some great ideas, it felt like it had a lot of intention behind. The big room with bombs arrows, or the corridor with mages on the side were fun to play Too many tutorial, I dont think players need to be reminded of every single steps (find 3 keys, 2 keys, etc, follow the arrow to the key etc) Walk speed is a tad slow",20,1.5,00:00:00,0,4,5,2,00:00:00,1.5,312,4,90,08:26:56,1.5,0,4,14,,4,5,,08:26:56,B
24,"2026-04-26 02:10:58",74,2.46,2,"It's a very fun short game, only with a few oddities like strange enemy tracking",14,2.89,00:00:00,0,4,5,2,09:11:37,2.9,387,5,106,12:24:03,1.5,0,3,9,,5,5,,12:24:03,A
23,"2026-04-26 00:41:55",45,1.50,2,"When playing, I made it a personal goal to explore the area slightly in order to collect any items I could find, even though I did not necessarily need them, mainly so that I could feel that I experienced all the tasks and challenges that the game presented to me. The items being in plain sight definitely encouraged that sort of exploration gameplay in the second area, but I probably missed some enemies and items in the first area since it seemed to me like looking for something to do in the more open area would have gotten boring.",4,1.5,00:00:00,0,4,4,1,00:00:00,1.5,336,4,111,09:50:23,1.5,0,3,5,,4,4,,09:50:23,B
22,"2026-04-25 23:14:21",53,1.50,2,"It was enganging enough that it made me think about what angles I should take to deal with a group of enemies. I do believe that having too many mages bombing you got a tad overwhelming, as it kept you on your feet constantly. Additionally,it was noticable that the difficulty was dependent on the amount of enemies, since some rooms just overwhelmed you with them. The power ups were still fun, especially the super speed, since they were able to make the gameplay fast paced.",17,1.5,00:00:00,0,3,4,1,00:00:00,1.5,327,5,89,08:35:37,1.5,0,3,13,,4,4,,08:35:37,B
21,"2026-04-25 17:59:45",46,1.50,3,"1. AI is kinda easy to cheese",9,1.5,00:00:00,0,3,5,1,00:00:00,1.5,335,3,94,11:48:66,1.5,0,2,8,,4,5,,11:48:66,B
20,"2026-04-25 17:35:28",65,2.05,1,"I enjoyed the brief tutorial. It didn't take up a lot of time but made sure you weren't just dropped in cold water. The game has a simple yet charming art direction and good level-building. The AI of the enemies is well-done, and I enjoy the little details like aggroing whole groups instead of just singular enemies, or enemies predicting your movement patterns and adjusting their attacks. Power-Ups ensured that the gameplay loop won't be kept bland and uninteresting. This Protoype has a lot of potential and for the brief playtime, it was entertaining and made sure to keep me on my toes. The game gives you helpful narration, but only enough to the point where it's not babysitting you or pointing out the obvious. The idea behind this game is simple yet fun - and has a lot of potential as it has already set a good base foundation.",35,2.39,00:37:93,1,2,4,1,06:39:30,2.9,471,4,128,06:52:26,0.6,1,3,20,,4,3,,11:36:78,A
18,"2026-04-24 20:27:53",35,2.00,3,"It's not my usual type of genre, and while the enviroments are well made and the controls are good, there wasn't really much to do at all. The enemies aren't really obstacles, they're just nuisances- avoiding them and tanking the occasional hits would work just as well as actually fighting them if not better. I got turned around on one of the keys by accident- i entered the first 2 key areas from the left and tried to get the third key on the right only to accidently end up in a room from the left- probably my fault but worth mentioning i guess. It didn't have any music- i assume maybe that wasn't your priority in this project since it's not a personal one, but the lack of ANY sounds kinda messed with my ability to be ""immersed"". Art looks good, gameplay is okay, but i didn't feel like i was doing much of anything. Who are these enemies we're fighting? Why are we going into a castle, what lies beyond the key door? I can't really be immersed when there's no story, music, sound effects, the fights are avoidable and there's not really a challenge. The mechanics of the power ups are neat and well animated! But with the amount of healing items i might as well have just tanked EVERY hit instead of trying to engage with the enemies. Everything looks good, but, it just doesn't feel, good, i guess. Not like, ""this game was designed terribly and i hate playing it because the mechanics frustrate me to no end"" Sonic Forces style, but ""there was literally no way to be immersed and there's nothing to do, no sound, no motivation"" kinda vibes. I get it, doing something as an obligation for a class kinda sucks the creative FUN energy out of a project. Whatever limitations were here and just the fact this wasn't one of your personal goals shows, but i can see the effort despite that. It's not bad, it's not frustrating. With the lack of context going in as per the project rules, i was bracing myself for something big, and i just feel.. Unwhelmed now, i guess haha. It's neat i suppose!",33,1.64,00:00:00,0,2,5,1,03:55:13,2.9,223,2,60,08:14:48,1.5,0,1,14,,3,4,,08:14:48,A
17,"2026-04-24 16:02:26",49,2.14,4,"Was actually quite enjoyable, I can see where this can be expanded on, quite easy, had pretty cool enemies to defeat. Overall the game was pretty fun.",16,2.52,00:00:00,0,3,5,1,05:16:31,2.9,315,3,91,11:32:75,1.5,0,2,8,,4,3,,11:32:75,A
15,"2026-04-24 14:16:46",49,1.50,3,"wo ist rover",10,1.5,00:00:00,0,3,4,2,00:00:00,1.5,340,4,99,08:27:08,1.5,0,2,7,,3,3,,08:27:08,B
